Start,End,Frequency,Route
Clapham Junction,Queensway,1,Clapham Junction - Queensway
Colindale,Knightsbridge,1,Colindale - Knightsbridge
Colindale,Leyton Midland Road,1,Colindale - Leyton Midland Road
Colindale,Liverpool Street,1,Colindale - Liverpool Street
Custom House EL,Edgware Road B,1,Custom House EL - Edgware Road B
Custom House EL,Deptford Bridge,1,Custom House EL - Deptford Bridge
Custom House EL,Dalston Junction,1,Custom House EL - Dalston Junction
Custom House EL,Covent Garden,1,Custom House EL - Covent Garden
Custom House DLR,West Hampstead,1,Custom House DLR - West Hampstead
Custom House DLR,Turnpike Lane,1,Custom House DLR - Turnpike Lane
Croxley,Chalfont & Latimer,1,Croxley - Chalfont & Latimer
Custom House DLR,Romford,1,Custom House DLR - Romford
Custom House DLR,Notting Hill Gate,1,Custom House DLR - Notting Hill Gate
Crystal Palace,Vauxhall,1,Crystal Palace - Vauxhall
Crystal Palace,South Wimbledon,1,Crystal Palace - South Wimbledon
Crystal Palace,Leyton,1,Crystal Palace - Leyton
Custom House EL,Euston,1,Custom House EL - Euston
Crystal Palace,Leicester Square,1,Crystal Palace - Leicester Square
Crystal Palace,Hackney Central,1,Crystal Palace - Hackney Central
Croxley,Wimbledon,1,Croxley - Wimbledon
Croxley,Wembley Park,1,Croxley - Wembley Park
Croxley,Northwood,1,Croxley - Northwood
Cutty Sark,Colindale,1,Cutty Sark - Colindale
Cutty Sark,Caledonian Road,1,Cutty Sark - Caledonian Road
Cutty Sark,Brixton,1,Cutty Sark - Brixton
Colliers Wood,Pimlico,1,Colliers Wood - Pimlico
Colindale,Victoria,1,Colindale - Victoria
Colindale,Sydenham SR,1,Colindale - Sydenham SR
Colindale,Swiss Cottage,1,Colindale - Swiss Cottage
Colindale,Stanmore,1,Colindale - Stanmore
Colindale,Piccadilly Circus,1,Colindale - Piccadilly Circus
Colindale,Paddington,1,Colindale - Paddington
Colindale,Old Street,1,Colindale - Old Street
Colindale,Neasden,1,Colindale - Neasden
Colindale,London Bridge,1,Colindale - London Bridge
Colliers Wood,Cannon Street ,1,Colliers Wood - Cannon Street 
Colliers Wood,Notting Hill Gate,1,Colliers Wood - Notting Hill Gate
Colliers Wood,Rectory Road,1,Colliers Wood - Rectory Road
Cutty Sark,Baker Street,1,Cutty Sark - Baker Street
Covent Garden,Tower Hill,1,Covent Garden - Tower Hill
Covent Garden,Stratford,1,Covent Garden - Stratford
Covent Garden,Stonebridge Park,1,Covent Garden - Stonebridge Park
Covent Garden,Romford,1,Covent Garden - Romford
Covent Garden,Northolt,1,Covent Garden - Northolt
Covent Garden,Moorgate,1,Covent Garden - Moorgate
Covent Garden,Lewisham DLR,1,Covent Garden - Lewisham DLR
Covent Garden,Kings Cross St Pancras,1,Covent Garden - Kings Cross St Pancras
Covent Garden,Kilburn,1,Covent Garden - Kilburn
Covent Garden,Heathrow T2&3 TfL Rail/HEx,1,Covent Garden - Heathrow T2&3 TfL Rail/HEx
Covent Garden,Hayes & Harlington,1,Covent Garden - Hayes & Harlington
Colindale,West Hampstead LO,1,Colindale - West Hampstead LO
Colindale,Wimbledon,1,Colindale - Wimbledon
Colliers Wood,Camden Town,1,Colliers Wood - Camden Town
Colliers Wood,Chancery Lane,1,Colliers Wood - Chancery Lane
Custom House EL,Victoria,1,Custom House EL - Victoria
Custom House EL,Tufnell Park,1,Custom House EL - Tufnell Park
Custom House EL,Swiss Cottage,1,Custom House EL - Swiss Cottage
Custom House EL,Liverpool Street,1,Custom House EL - Liverpool Street
Custom House EL,Leicester Square,1,Custom House EL - Leicester Square
Custom House EL,Kings Cross St Pancras,1,Custom House EL - Kings Cross St Pancras
Cutty Sark,Green Park,1,Cutty Sark - Green Park
Covent Garden,West Croydon,1,Covent Garden - West Croydon
Covent Garden,Waterloo,1,Covent Garden - Waterloo
Covent Garden,Victoria,1,Covent Garden - Victoria
Colliers Wood,Marble Arch,1,Colliers Wood - Marble Arch
Colliers Wood,London Bridge,1,Colliers Wood - London Bridge
Colliers Wood,Liverpool Street,1,Colliers Wood - Liverpool Street
Colliers Wood,Leicester Square,1,Colliers Wood - Leicester Square
Colliers Wood,Kings Cross St Pancras,1,Colliers Wood - Kings Cross St Pancras
Colliers Wood,Kentish Town,1,Colliers Wood - Kentish Town
Colliers Wood,Holloway Road,1,Colliers Wood - Holloway Road
Colliers Wood,Holborn,1,Colliers Wood - Holborn
Colliers Wood,Highbury & Islington,1,Colliers Wood - Highbury & Islington
Colliers Wood,Gidea Park,1,Colliers Wood - Gidea Park
Colliers Wood,Finsbury Park,1,Colliers Wood - Finsbury Park
Colliers Wood,East Ham,1,Colliers Wood - East Ham
Colliers Wood,Moorgate,1,Colliers Wood - Moorgate
Clapham Junction,Latimer Road,1,Clapham Junction - Latimer Road
Clapham Junction,London Bridge,1,Clapham Junction - London Bridge
Clapham South,Leytonstone,1,Clapham South - Leytonstone
Clapham South,Romford,1,Clapham South - Romford
Colindale,Euston,1,Colindale - Euston
Colindale,Dalston Kingsland,1,Colindale - Dalston Kingsland
Colindale,Covent Garden,1,Colindale - Covent Garden
Colindale,Cannon Street,1,Colindale - Cannon Street
Colindale,Bayswater,1,Colindale - Bayswater
Cockfosters,White City,1,Cockfosters - White City
Cockfosters,Northolt,1,Cockfosters - Northolt
Cockfosters,Liverpool St NR,1,Cockfosters - Liverpool St NR
Cockfosters,Canary Wharf,1,Cockfosters - Canary Wharf
Cockfosters,Canada Water,1,Cockfosters - Canada Water
Cockfosters,Balham,1,Cockfosters - Balham
Clapton,West Brompton,1,Clapton - West Brompton
Clapham South,Shadwell LO,1,Clapham South - Shadwell LO
Clapton,Southwark,1,Clapton - Southwark
Clapton,South Kensington,1,Clapton - South Kensington
Clapton,Shenfield,1,Clapton - Shenfield
Clapton,Piccadilly Circus,1,Clapton - Piccadilly Circus
Clapton,Northolt,1,Clapton - Northolt
Clapton,Gants Hill,1,Clapton - Gants Hill
Clapton,East Ham,1,Clapton - East Ham
Clapham South,Whitechapel,1,Clapham South - Whitechapel
Clapham South,Walthamstow Central,1,Clapham South - Walthamstow Central
Clapham South,Surrey Quays,1,Clapham South - Surrey Quays
Clapham South,Stonebridge Park,1,Clapham South - Stonebridge Park
Colindale,Hackney Downs,1,Colindale - Hackney Downs
Clapham South,Pontoon Dock DLR,1,Clapham South - Pontoon Dock DLR
Clapham Junction,Mansion House,1,Clapham Junction - Mansion House
Clapham North,West Hampstead,1,Clapham North - West Hampstead
Clapham South,Lancaster Gate,1,Clapham South - Lancaster Gate
Clapham South,Kensal Rise,1,Clapham South - Kensal Rise
Clapham South,Highgate,1,Clapham South - Highgate
Clapham South,Clapham Junction,1,Clapham South - Clapham Junction
Clapham South,Charing Cross,1,Clapham South - Charing Cross
Clapham South,Camden Town,1,Clapham South - Camden Town
Clapham South,Bounds Green,1,Clapham South - Bounds Green
Clapham South,Barking,1,Clapham South - Barking
Clapham South,Angel,1,Clapham South - Angel
Clapham South,Peckham Rye,1,Clapham South - Peckham Rye
Clapham South,Acton Town,1,Clapham South - Acton Town
Clapham North,Waterloo,1,Clapham North - Waterloo
Clapham North,Earls Court,1,Clapham North - Earls Court
Clapham North,Victoria,1,Clapham North - Victoria
Clapham North,Tottenham Court Road,1,Clapham North - Tottenham Court Road
Clapham North,St James's Park,1,Clapham North - St James's Park
Clapham North,Southall,1,Clapham North - Southall
Clapham North,Monument,1,Clapham North - Monument
Clapham North,Marylebone,1,Clapham North - Marylebone
Clapham North,Marble Arch,1,Clapham North - Marble Arch
Clapham North,London Bridge,1,Clapham North - London Bridge
Clapham North,Leyton,1,Clapham North - Leyton
Clapham North,Finchley Road,1,Clapham North - Finchley Road
Clapham North,Woodside Park,1,Clapham North - Woodside Park
Clapham South,Shoreditch High Street,1,Clapham South - Shoreditch High Street
Clapton,Turnham Green,1,Clapton - Turnham Green
Colindale,Honor Oak Park,1,Colindale - Honor Oak Park
Clapham Junction,Stanmore,1,Clapham Junction - Stanmore
Clapham Junction,Blackfriars,1,Clapham Junction - Blackfriars
Clapham North,Brixton,1,Clapham North - Brixton
Clapham Junction,Golders Green,1,Clapham Junction - Golders Green
Clapham Junction,Hendon Central,1,Clapham Junction - Hendon Central
Clapham North,Balham,1,Clapham North - Balham
Clapham Junction,Wimbledon,1,Clapham Junction - Wimbledon
Clapham Junction,Whitechapel,1,Clapham Junction - Whitechapel
Clapham Junction,Victoria,1,Clapham Junction - Victoria
Clapham Junction,Upper Holloway,1,Clapham Junction - Upper Holloway
Clapham Junction,Upminster,1,Clapham Junction - Upminster
Clapham Junction,Tower Hill,1,Clapham Junction - Tower Hill
Clapham Junction,St Johns Wood,1,Clapham Junction - St Johns Wood
Clapham North,Cutty Sark,1,Clapham North - Cutty Sark
Clapham Junction,St James's Park,1,Clapham Junction - St James's Park
Clapham Junction,South Kensington,1,Clapham Junction - South Kensington
Clapham Junction,Silver Street,1,Clapham Junction - Silver Street
Clapham Junction,Hampstead Heath,1,Clapham Junction - Hampstead Heath
Clapham Junction,Shoreditch High Street,1,Clapham Junction - Shoreditch High Street
Clapham Junction,Plaistow,1,Clapham Junction - Plaistow
Clapham Junction,Peckham Rye,1,Clapham Junction - Peckham Rye
Clapham Junction,Notting Hill Gate,1,Clapham Junction - Notting Hill Gate
Clapham Junction,Northolt,1,Clapham Junction - Northolt
Clapham Junction,Northfields,1,Clapham Junction - Northfields
Clapham Junction,Mile End,1,Clapham Junction - Mile End
Clapham Common,Stanmore,1,Clapham Common - Stanmore
Clapham Common,Turnpike Lane,1,Clapham Common - Turnpike Lane
Clapham Common,Wood Street,1,Clapham Common - Wood Street
Clapham High Street,Baker Street,1,Clapham High Street - Baker Street
Clapham North,Bond Street,1,Clapham North - Bond Street
Clapham Junction,Euston NR,1,Clapham Junction - Euston NR
Clapham Junction,Enfield Town,1,Clapham Junction - Enfield Town
Clapham Junction,Edgware Road B,1,Clapham Junction - Edgware Road B
Clapham Junction,Edgware,1,Clapham Junction - Edgware
Clapham Junction,Earls Court,1,Clapham Junction - Earls Court
Clapham Junction,Devons Road,1,Clapham Junction - Devons Road
Clapham Junction,Dalston Kingsland,1,Clapham Junction - Dalston Kingsland
Clapham Junction,Canning Town,1,Clapham Junction - Canning Town
Clapham Junction,Canary Wharf EL,1,Clapham Junction - Canary Wharf EL
Clapham Junction,Canada Water,1,Clapham Junction - Canada Water
Clapham Junction,Camden Town,1,Clapham Junction - Camden Town
Clapham Junction,Bond Street,1,Clapham Junction - Bond Street
Clapham Junction,Fulham Broadway,1,Clapham Junction - Fulham Broadway
Clapham Junction,Blackhorse Road,1,Clapham Junction - Blackhorse Road
Clapham Junction,Bermondsey,1,Clapham Junction - Bermondsey
Clapham Junction,Barbican,1,Clapham Junction - Barbican
Clapham Junction,Balham,1,Clapham Junction - Balham
Clapham Junction,Archway,1,Clapham Junction - Archway
Clapham Junction,Alperton,1,Clapham Junction - Alperton
Clapham High Street,Heathrow Terminal 5,1,Clapham High Street - Heathrow Terminal 5
Clapham High Street,Finsbury Park,1,Clapham High Street - Finsbury Park
Clapham High Street,Becontree,1,Clapham High Street - Becontree
Elephant & Castle,Hillingdon,1,Elephant & Castle - Hillingdon
Elephant & Castle,Highams Park,1,Elephant & Castle - Highams Park
Bromley-by-Bow,Woodside Park,1,Bromley-by-Bow - Woodside Park
Acton Central,Stonebridge Park,1,Acton Central - Stonebridge Park
Alperton,Tottenham Court Road,1,Alperton - Tottenham Court Road
Alperton,Stratford,1,Alperton - Stratford
Alperton,Kings Cross St Pancras,1,Alperton - Kings Cross St Pancras
Alperton,Dagenham Heathway,1,Alperton - Dagenham Heathway
Alperton,Canning Town,1,Alperton - Canning Town
All Saints,Leicester Square,1,All Saints - Leicester Square
All Saints,Knightsbridge,1,All Saints - Knightsbridge
Anerley,Lewisham DLR,1,Anerley - Lewisham DLR
Angel,Farringdon,1,Angel - Farringdon
Aldgate,Liverpool St NR,1,Aldgate - Liverpool St NR
Aldgate,Finsbury Park,1,Aldgate - Finsbury Park
Acton Central,Stoke Newington,1,Acton Central - Stoke Newington
Amersham,Kilburn Park,1,Amersham - Kilburn Park
Acton Central,Queensway,1,Acton Central - Queensway
Acton Central,Maidenhead,1,Acton Central - Maidenhead
Acton Central,London Bridge,1,Acton Central - London Bridge
Acton Central,Green Park,1,Acton Central - Green Park
Acton Central,Bank,1,Acton Central - Bank
Abbey Wood,West Croydon,1,Abbey Wood - West Croydon
Abbey Wood,Waterloo,1,Abbey Wood - Waterloo
Abbey Wood,Turnham Green,1,Abbey Wood - Turnham Green
Abbey Wood,Stanmore,1,Abbey Wood - Stanmore
Abbey Wood,Southwark,1,Abbey Wood - Southwark
Acton Central,Victoria,1,Acton Central - Victoria
Amersham,Hendon Central,1,Amersham - Hendon Central
Amersham,West Brompton,1,Amersham - West Brompton
Abbey Wood,Mile End,1,Abbey Wood - Mile End
Angel,Ealing Broadway,1,Angel - Ealing Broadway
Aldgate,Tottenham Court Road,1,Aldgate - Tottenham Court Road
Aldgate,Stratford,1,Aldgate - Stratford
Aldgate,Shepherds Bush,1,Aldgate - Shepherds Bush
Aldgate,Richmond,1,Aldgate - Richmond
Aldgate,Regents Park,1,Aldgate - Regents Park
Aldgate East,Green Park,1,Aldgate East - Green Park
Aldgate,London Bridge,1,Aldgate - London Bridge
Aldgate East,West Hampstead,1,Aldgate East - West Hampstead
All Saints,Elm Park,1,All Saints - Elm Park
Angel,East India,1,Angel - East India
Angel,East Ham,1,Angel - East Ham
Angel,Cyprus,1,Angel - Cyprus
Anerley,Charing Cross,1,Anerley - Charing Cross
Angel,Covent Garden,1,Angel - Covent Garden
Angel,Clapham South,1,Angel - Clapham South
Angel,Canning Town,1,Angel - Canning Town
Angel,Canary Wharf,1,Angel - Canary Wharf
Angel,Buckhurst Hill,1,Angel - Buckhurst Hill
Angel,Blackfriars,1,Angel - Blackfriars
Angel,Becontree,1,Angel - Becontree
Angel,Battersea Power Station,1,Angel - Battersea Power Station
Aldgate East,Wimbledon,1,Aldgate East - Wimbledon
Anerley,Liverpool St NR,1,Anerley - Liverpool St NR
Anerley,Heathrow Terminals 2&3,1,Anerley - Heathrow Terminals 2&3
Abbey Wood,Shadwell LO,1,Abbey Wood - Shadwell LO
Abbey Wood,Liverpool Street,1,Abbey Wood - Liverpool Street
Elephant & Castle,Forest Gate,1,Elephant & Castle - Forest Gate
Acton Town,South Kensington,1,Acton Town - South Kensington
Acton Town,Morden,1,Acton Town - Morden
Acton Town,Marylebone,1,Acton Town - Marylebone
Acton Town,Liverpool Street,1,Acton Town - Liverpool Street
Acton Town,Leyton,1,Acton Town - Leyton
Acton Town,Hounslow East,1,Acton Town - Hounslow East
Acton Town,Holborn,1,Acton Town - Holborn
Acton Town,Hayes & Harlington,1,Acton Town - Hayes & Harlington
Acton Town,Brixton,1,Acton Town - Brixton
Acton Main Line,Victoria,1,Acton Main Line - Victoria
Acton Main Line,Theydon Bois,1,Acton Main Line - Theydon Bois
Acton Main Line,Romford,1,Acton Main Line - Romford
Angel,Hanger Lane,1,Angel - Hanger Lane
Acton Town,Star Lane DLR,1,Acton Town - Star Lane DLR
Angel,Harlesden,1,Angel - Harlesden
Angel,Harold Wood,1,Angel - Harold Wood
Baker Street,Lewisham DLR,1,Baker Street - Lewisham DLR
Baker Street,Leicester Square,1,Baker Street - Leicester Square
Baker Street,Latimer Road,1,Baker Street - Latimer Road
Baker Street,Lambeth North,1,Baker Street - Lambeth North
Baker Street,Kingsbury,1,Baker Street - Kingsbury
Baker Street,Heathrow Terminals 2&3,1,Baker Street - Heathrow Terminals 2&3
Baker Street,Harringay Green Lanes,1,Baker Street - Harringay Green Lanes
Baker Street,Gunnersbury,1,Baker Street - Gunnersbury
Baker Street,Finsbury Park,1,Baker Street - Finsbury Park
Acton Town,Shepherds Bush,1,Acton Town - Shepherds Bush
Acton Main Line,Barking,1,Acton Main Line - Barking
Abbey Wood,Holborn,1,Abbey Wood - Holborn
Acton Main Line,Baker Street,1,Acton Main Line - Baker Street
Abbey Wood,Farringdon,1,Abbey Wood - Farringdon
Abbey Wood,Elephant & Castle,1,Abbey Wood - Elephant & Castle
Abbey Wood,Denmark Hill,1,Abbey Wood - Denmark Hill
Abbey Wood,Clapham Junction,1,Abbey Wood - Clapham Junction
Abbey Wood,Canada Water,1,Abbey Wood - Canada Water
Abbey Wood,Bounds Green,1,Abbey Wood - Bounds Green
Abbey Wood,Becontree,1,Abbey Wood - Becontree
Abbey Road DLR,Vauxhall,1,Abbey Road DLR - Vauxhall
Abbey Road DLR,Holland Park,1,Abbey Road DLR - Holland Park
Abbey Wood,Oxford Circus,1,Abbey Wood - Oxford Circus
Aldgate,Kingsbury,1,Aldgate - Kingsbury
Acton Main Line,Liverpool Street,1,Acton Main Line - Liverpool Street
Acton Town,Victoria,1,Acton Town - Victoria
Aldgate,Euston,1,Aldgate - Euston
Aldgate,Embankment,1,Aldgate - Embankment
Aldgate,Devons Road,1,Aldgate - Devons Road
Aldgate,Covent Garden,1,Aldgate - Covent Garden
Aldgate,Clapham Junction,1,Aldgate - Clapham Junction
Aldgate,Camden Road,1,Aldgate - Camden Road
Aldgate,Bond Street,1,Aldgate - Bond Street
Aldgate,Barking,1,Aldgate - Barking
Aldgate,Bank,1,Aldgate - Bank
Acton Town,West Hampstead LO,1,Acton Town - West Hampstead LO
Acton Town,Waterloo,1,Acton Town - Waterloo
Aldgate East,Barbican,1,Aldgate East - Barbican
Aldgate East,Barking,1,Aldgate East - Barking
Aldgate East,Borough,1,Aldgate East - Borough
Barking,Warren Street,1,Barking - Warren Street
Beckton,Clapham High Street,1,Beckton - Clapham High Street
Barons Court,Clapham North,1,Barons Court - Clapham North
Barons Court,Chiswick Park,1,Barons Court - Chiswick Park
Barkingside,West Croydon,1,Barkingside - West Croydon
Barkingside,Waterloo,1,Barkingside - Waterloo
Barkingside,Tottenham Court Road,1,Barkingside - Tottenham Court Road
Barkingside,South Kensington,1,Barkingside - South Kensington
Barkingside,Mornington Crescent,1,Barkingside - Mornington Crescent
Barkingside,Euston,1,Barkingside - Euston
Barking Riverside,Bethnal Green,1,Barking Riverside - Bethnal Green
Barking,Woodgrange Park,1,Barking - Woodgrange Park
Barking,Wanstead Park,1,Barking - Wanstead Park
Beckton,Morden,1,Beckton - Morden
Barons Court,Euston Square,1,Barons Court - Euston Square
Barking,Tower Hill,1,Barking - Tower Hill
Barking,Tooting Bec,1,Barking - Tooting Bec
Barking,Swiss Cottage,1,Barking - Swiss Cottage
Barking,Stockwell,1,Barking - Stockwell
Barking,Southall,1,Barking - Southall
Barking,South Wimbledon,1,Barking - South Wimbledon
Barking,Plaistow,1,Barking - Plaistow
Barking,Paddington,1,Barking - Paddington
Barking,Norwood Junction,1,Barking - Norwood Junction
Barking,Newbury Park,1,Barking - Newbury Park
Beckton,Green Park,1,Beckton - Green Park
Bermondsey,St Johns Wood,1,Bermondsey - St Johns Wood
Aldgate East,Bow Road,1,Aldgate East - Bow Road
Bermondsey,Clapham Junction,1,Bermondsey - Clapham Junction
Bethnal Green,Finchley Road,1,Bethnal Green - Finchley Road
Bethnal Green,Euston,1,Bethnal Green - Euston
Bethnal Green,Canary Wharf,1,Bethnal Green - Canary Wharf
Bethnal Green,Burnt Oak,1,Bethnal Green - Burnt Oak
Bethnal Green,Bond Street,1,Bethnal Green - Bond Street
Bethnal Green,Baker Street,1,Bethnal Green - Baker Street
Bethnal Green,Aldgate,1,Bethnal Green - Aldgate
Bermondsey,Whitechapel,1,Bermondsey - Whitechapel
Bermondsey,Victoria,1,Bermondsey - Victoria
Bermondsey,Tottenham Court Road,1,Bermondsey - Tottenham Court Road
Bermondsey,Tooting Broadway,1,Bermondsey - Tooting Broadway
Bermondsey,Swiss Cottage,1,Bermondsey - Swiss Cottage
Bermondsey,Farringdon,1,Bermondsey - Farringdon
Bermondsey,Sloane Square,1,Bermondsey - Sloane Square
Bermondsey,Shepherds Bush LO,1,Bermondsey - Shepherds Bush LO
Bermondsey,Pimlico,1,Bermondsey - Pimlico
Bermondsey,Norwood Junction,1,Bermondsey - Norwood Junction
Bermondsey,Liverpool Street,1,Bermondsey - Liverpool Street
Bermondsey,Leicester Square,1,Bermondsey - Leicester Square
Bermondsey,Kings Cross St Pancras,1,Bermondsey - Kings Cross St Pancras
Bermondsey,Hammersmith C&H,1,Bermondsey - Hammersmith C&H
Bermondsey,Hainault,1,Bermondsey - Hainault
Bermondsey,Gospel Oak,1,Bermondsey - Gospel Oak
Bermondsey,Fulham Broadway,1,Bermondsey - Fulham Broadway
Barking,Neasden,1,Barking - Neasden
Barking,Marble Arch,1,Barking - Marble Arch
Barking,London Bridge,1,Barking - London Bridge
Aldgate East,South Kensington,1,Aldgate East - South Kensington
Barons Court,Queens Rd Peckham,1,Barons Court - Queens Rd Peckham
Barons Court,Liverpool Street,1,Barons Court - Liverpool Street
Barons Court,Holborn,1,Barons Court - Holborn
Balham,Canning Town,1,Balham - Canning Town
Bethnal Green,Green Park,1,Bethnal Green - Green Park
Balham,Barbican,1,Balham - Barbican
Baker Street,Woolwich EL,1,Baker Street - Woolwich EL
Aldgate East,Wembley Park,1,Aldgate East - Wembley Park
Aldgate East,Turnpike Lane,1,Aldgate East - Turnpike Lane
Aldgate East,Tottenham Court Road,1,Aldgate East - Tottenham Court Road
Aldgate East,Stratford,1,Aldgate East - Stratford
Aldgate East,Shepherds Bush,1,Aldgate East - Shepherds Bush
Barking,Tottenham Hale,1,Barking - Tottenham Hale
Aldgate East,Old Street,1,Aldgate East - Old Street
Aldgate East,Notting Hill Gate,1,Aldgate East - Notting Hill Gate
Aldgate East,Morden,1,Aldgate East - Morden
Aldgate East,Kew Gardens,1,Aldgate East - Kew Gardens
Aldgate East,Kentish Town West,1,Aldgate East - Kentish Town West
Aldgate East,Kennington,1,Aldgate East - Kennington
Aldgate East,West Ham,1,Aldgate East - West Ham
Aldgate East,Harrow-on-the-Hill,1,Aldgate East - Harrow-on-the-Hill
Aldgate East,Earls Court,1,Aldgate East - Earls Court
Aldgate East,Custom House EL,1,Aldgate East - Custom House EL
Aldgate East,Clapham North,1,Aldgate East - Clapham North
Barons Court,South Ealing,1,Barons Court - South Ealing
Barons Court,South Kensington,1,Barons Court - South Kensington
Barons Court,Tottenham Court Road,1,Barons Court - Tottenham Court Road
Barons Court,Tower Hill,1,Barons Court - Tower Hill
Barons Court,Great Portland Street,1,Barons Court - Great Portland Street
Barons Court,Green Park,1,Barons Court - Green Park
Barons Court,Harlesden,1,Barons Court - Harlesden
Bayswater,Waterloo,1,Bayswater - Waterloo
Bayswater,Tottenham Hale,1,Bayswater - Tottenham Hale
Bayswater,Sloane Square,1,Bayswater - Sloane Square
Bayswater,Romford,1,Bayswater - Romford
Bayswater,Monument,1,Bayswater - Monument
Bayswater,Holborn,1,Bayswater - Holborn
Bayswater,Bond Street,1,Bayswater - Bond Street
Bayswater,Arnos Grove,1,Bayswater - Arnos Grove
Battersea Power Station,Wembley Central,1,Battersea Power Station - Wembley Central
Battersea Power Station,Victoria,1,Battersea Power Station - Victoria
Battersea Power Station,Vauxhall,1,Battersea Power Station - Vauxhall
Battersea Power Station,Upton Park,1,Battersea Power Station - Upton Park
Battersea Power Station,Tottenham Court Road,1,Battersea Power Station - Tottenham Court Road
Battersea Power Station,Stratford,1,Battersea Power Station - Stratford
Battersea Power Station,Royal Oak,1,Battersea Power Station - Royal Oak
Battersea Power Station,Prince Regent,1,Battersea Power Station - Prince Regent
Battersea Power Station,Northolt,1,Battersea Power Station - Northolt
Battersea Power Station,Moorgate,1,Battersea Power Station - Moorgate
Battersea Power Station,Manor House,1,Battersea Power Station - Manor House
Battersea Power Station,Baker Street,1,Battersea Power Station - Baker Street
Baker Street,Farringdon,1,Baker Street - Farringdon
Baker Street,Euston,1,Baker Street - Euston
Baker Street,Enfield Town,1,Baker Street - Enfield Town
Caledonian Road,Holloway Road,1,Caledonian Road - Holloway Road
Camden Town,Acton Central,1,Camden Town - Acton Central
Camden Road,West Harrow,1,Camden Road - West Harrow
Camden Road,West Drayton,1,Camden Road - West Drayton
Camden Road,Wembley Central,1,Camden Road - Wembley Central
Camden Road,Waterloo,1,Camden Road - Waterloo
Camden Road,Walthamstow Central,1,Camden Road - Walthamstow Central
Camden Road,Stratford,1,Camden Road - Stratford
Camden Road,London Bridge,1,Camden Road - London Bridge
Camden Road,Liverpool Street,1,Camden Road - Liverpool Street
Camden Road,Leyton,1,Camden Road - Leyton
Camden Road,Finsbury Park,1,Camden Road - Finsbury Park
Camden Road,Clapham North,1,Camden Road - Clapham North
Caledonian Road,Hoxton,1,Caledonian Road - Hoxton
Camden Road,Chalk Farm,1,Camden Road - Chalk Farm
Camden Road,Bond Street,1,Camden Road - Bond Street
Caledonian Road & Barnsbury,Wanstead,1,Caledonian Road & Barnsbury - Wanstead
Caledonian Road & Barnsbury,Sloane Square,1,Caledonian Road & Barnsbury - Sloane Square
Caledonian Road & Barnsbury,Royal Victoria,1,Caledonian Road & Barnsbury - Royal Victoria
Caledonian Road & Barnsbury,Colindale,1,Caledonian Road & Barnsbury - Colindale
Caledonian Road & Barnsbury,Bounds Green,1,Caledonian Road & Barnsbury - Bounds Green
Caledonian Road,Victoria,1,Caledonian Road - Victoria
Caledonian Road,Romford,1,Caledonian Road - Romford
Caledonian Road,Plaistow,1,Caledonian Road - Plaistow
Caledonian Road,Oval,1,Caledonian Road - Oval
Camden Town,Aldgate East,1,Camden Town - Aldgate East
Caledonian Road,Holborn,1,Caledonian Road - Holborn
Caledonian Road,Camden Town,1,Caledonian Road - Camden Town
Burnt Oak,Old Street,1,Burnt Oak - Old Street
Bushey,Regents Park,1,Bushey - Regents Park
Bushey,Paddington,1,Bushey - Paddington
Bushey,Kentish Town,1,Bushey - Kentish Town
Bushey,Camden Town,1,Bushey - Camden Town
Bush Hill Park,Liverpool St NR,1,Bush Hill Park - Liverpool St NR
Bush Hill Park,Kings Cross St Pancras,1,Bush Hill Park - Kings Cross St Pancras
Bush Hill Park,Brondesbury,1,Bush Hill Park - Brondesbury
Burnt Oak,Wimbledon,1,Burnt Oak - Wimbledon
Burnt Oak,Sydenham SR,1,Burnt Oak - Sydenham SR
Caledonian Road,Great Portland Street,1,Caledonian Road - Great Portland Street
Burnt Oak,Stockwell,1,Burnt Oak - Stockwell
Burnt Oak,Manor House,1,Burnt Oak - Manor House
Buckhurst Hill,Putney Bridge,1,Buckhurst Hill - Putney Bridge
Burnt Oak,Liverpool Street,1,Burnt Oak - Liverpool Street
Burnt Oak,Leicester Square,1,Burnt Oak - Leicester Square
Burnt Oak,Highbury & Islington,1,Burnt Oak - Highbury & Islington
Burnt Oak,Heathrow Terminals 2&3,1,Burnt Oak - Heathrow Terminals 2&3
Burnham Bucks,Shepherds Bush LO,1,Burnham Bucks - Shepherds Bush LO
Burnham Bucks,Finsbury Park,1,Burnham Bucks - Finsbury Park
Buckhurst Hill,West Hampstead,1,Buckhurst Hill - West Hampstead
Buckhurst Hill,Vauxhall,1,Buckhurst Hill - Vauxhall
Buckhurst Hill,Turnpike Lane,1,Buckhurst Hill - Turnpike Lane
Buckhurst Hill,Sudbury Town,1,Buckhurst Hill - Sudbury Town
Burnt Oak,Plaistow,1,Burnt Oak - Plaistow
Caledonian Road,North Greenwich,1,Caledonian Road - North Greenwich
Camden Road,Chiswick Park,1,Camden Road - Chiswick Park
Camden Town,Angel,1,Camden Town - Angel
Bruce Grove,Victoria,1,Bruce Grove - Victoria
Brixton,Tower Hill,1,Brixton - Tower Hill
Buckhurst Hill,Loughton,1,Buckhurst Hill - Loughton
Brockley,Park Royal,1,Brockley - Park Royal
Bromley-by-Bow,Brixton,1,Bromley-by-Bow - Brixton
Buckhurst Hill,Holborn,1,Buckhurst Hill - Holborn
